id;start_date;end_date;language
1;2019-09-26T20:51:43;2019-09-26T14:00:00;FRENCH
2;2019-09-26T22:21:48;2019-09-26T07:27:59;SPANISH
3;2019-09-26T17:53:53;2019-09-26T09:17:53;SPANISH
4;2019-09-26T07:05:44;2019-09-26T14:32:46;SPANISH
5;2019-09-26T16:04:23;2019-09-26T20:48:32;FRENCH
6;2019-09-26T22:21:24;2019-09-26T23:38:20;FRENCH
7;2019-09-26T07:43:44;2019-09-26T20:24:31;FRENCH
8;2019-09-26T05:15:03;2019-09-26T13:15:12;FRENCH
9;2019-09-26T15:03:09;2019-09-26T23:27:47;ENGLISH
10;2019-09-26T18:21:18;2019-09-26T15:37:33;ENGLISH
